timestamp,context,years_bucket,relationship,traits_raw,traits_list,traits_text
2025-11-16 15:36:08.071,Northwestern,1-3,Close friends,"Outgoing, passionate, caring","['Outgoing', 'passionate', 'caring']","Outgoing, passionate, caring"
2025-11-16 15:43:40.156,Northwestern,4-6,Hung out 1–1 a decent amount,"chill, passionate, entrepreneurial ","['chill', 'passionate', 'entrepreneurial']","chill, passionate, entrepreneurial"
2025-11-16 15:44:28.190,Northwestern,1-3,Close friends,"Chill, homie, type, shit","['Chill', 'homie', 'type', 'shit']","Chill, homie, type, shit"
2025-11-16 15:53:31.952,Northwestern,1-3,Same large friend group / teammates / coworkers,"Creative, easy going, observant, kind","['Creative', 'easy going', 'observant', 'kind']","Creative, easy going, observant, kind"
2025-11-16 15:54:38.252,Abroad,1-3,Hung out 1–1 a decent amount,"Caring, funny, stylish, easy-going","['Caring', 'funny', 'stylish', 'easy-going']","Caring, funny, stylish, easy-going"
2025-11-16 15:56:32.938,Home,7+,Close friends,Performative,['Performative'],Performative
2025-11-16 16:09:32.558,Northwestern,1-3,Close friends,"Kind, funny, generous!","['Kind', 'funny', 'generous']","Kind, funny, generous"
2025-11-16 16:13:27.118,Northwestern,1-3,Unknown,"social, reflective, adventurous","['social', 'reflective', 'adventurous']","social, reflective, adventurous"
2025-11-16 16:23:49.760,Northwestern,1-3,Close friends,"kind, funny, caring","['kind', 'funny', 'caring']","kind, funny, caring"
2025-11-16 16:47:01.941,Wisconsin,1-3,Close friends,"Chill, easy-going, genuine, courageous, creative","['Chill', 'easy-going', 'genuine', 'courageous', 'creative']","Chill, easy-going, genuine, courageous, creative"
2025-11-16 17:04:56.679,Wisconsin,1-3,Close friends,Good emotional intelligence,['Good emotional intelligence'],Good emotional intelligence
2025-11-16 17:26:27.974,Wisconsin,4-6,Close friends,"Loyal, committed, confused, lovable, irritating ","['Loyal', 'committed', 'confused', 'lovable', 'irritating']","Loyal, committed, confused, lovable, irritating"
2025-11-16 17:29:30.314,Northwestern,1-3,Hung out 1–1 a decent amount,"positive, empathetic, decent dude","['positive', 'empathetic', 'decent dude']","positive, empathetic, decent dude"
2025-11-16 18:33:03.846,Wisconsin,4-6,Same large friend group / teammates / coworkers,"Easygoing, funny, intelligent ","['Easygoing', 'funny', 'intelligent']","Easygoing, funny, intelligent"
2025-11-16 22:18:33.870,Wisconsin,4-6,Same large friend group / teammates / coworkers,"layered,mature,calm,smile, vibe","['layered', 'mature', 'calm', 'smile', 'vibe']","layered, mature, calm, smile, vibe"
2025-11-16 22:25:26.158,Wisconsin,1-3,Hung out 1–1 a decent amount,"leaps at opportunity, down to earth","['leaps at opportunity', 'down to earth']","leaps at opportunity, down to earth"
2025-11-17 00:00:27.853,Abroad,1-3,Close friends,"Reliable, personable, easygoing","['Reliable', 'personable', 'easygoing']","Reliable, personable, easygoing"
2025-11-17 03:10:46.665,Northwestern,1-3,Hung out 1–1 a decent amount,"Reflective, outgoing,  expressive","['Reflective', 'outgoing', 'expressive']","Reflective, outgoing, expressive"
